time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
6531,16069,1,0,38,1
6532,16069,1,0,38,1
6533,16069,1,0,38,1
6534,16069,1,0,38,1
6535,16069,1,0,38,1
6536,16069,1,0,38,1
6537,16069,1,0,38,1
6538,16069,1,0,38,1
6539,16069,1,0,38,1
6540,16069,1,0,38,1
6541,16069,1,0,38,1
6542,16069,1,0,38,1
6543,16069,1,0,38,1
6544,16069,1,0,38,1
6545,16069,1,0,38,1
6546,16069,1,0,38,1
6547,16069,1,0,38,1
6548,16069,1,0,38,1
6549,16069,1,0,38,1
6550,16069,1,0,38,1
6551,16069,1,0,38,1
6552,16069,1,0,38,1
6553,16069,1,0,38,1
6554,16069,1,0,38,1
6555,16069,1,0,38,1
6556,16069,1,0,38,1
6557,16069,1,0,38,1
6558,16069,1,0,38,1
6559,16069,1,0,38,1
6560,16069,1,0,38,1
6561,16069,1,0,38,1
6562,16069,1,0,38,1
6563,16069,1,0,38,1
6564,16069,1,0,38,1
6565,16069,1,0,38,1
6566,16069,1,0,38,1
6567,16069,1,0,38,1
6568,16069,1,0,38,1
6569,16069,1,0,38,1
6570,16069,1,0,38,1
6571,16069,1,0,38,1
6572,16069,1,0,38,1
6573,16069,1,0,38,1
6574,16069,1,0,38,1
6575,16069,1,0,38,1
6576,16069,1,0,38,1
6577,16069,1,0,38,1
6578,16069,1,0,38,1
6579,16069,1,0,38,1
6580,16069,1,0,38,1
6581,16069,1,0,38,1
6582,16069,1,0,38,1
6583,16069,1,0,38,1
6584,16069,1,0,38,1
6585,16069,1,0,38,1
6586,16069,1,0,38,1
6587,16069,1,0,38,1
6588,16069,1,0,38,1
6589,16069,1,0,38,1
6590,16069,1,0,38,1
6591,16069,1,0,38,1
6592,16069,1,0,38,1
6593,16069,1,0,38,1
6594,16069,1,0,38,1
6595,16069,1,0,38,1
6596,16069,1,0,38,1
6597,16069,1,0,38,1
6598,16069,1,0,38,1
6599,16069,1,0,38,1
6600,16069,1,0,38,1
6601,16069,1,0,38,1
6602,16069,1,0,38,1
6603,16069,1,0,38,1
6604,16069,1,0,38,1
6605,16069,1,0,38,1
6606,16069,1,0,38,1
6607,16069,1,0,38,1
6608,16069,1,0,38,1
6609,16069,1,0,38,1
6610,16069,1,0,38,1
6611,16069,1,0,38,1
6612,16069,1,0,38,1
6613,16069,1,0,38,1
6614,16069,1,0,38,1
6615,16069,1,0,38,1
6616,16069,1,0,38,1
6617,16069,1,0,38,1
6618,16069,1,0,38,1
6619,16069,1,0,38,1
6620,16069,1,0,38,1
6621,16069,1,0,38,1
6622,16069,1,0,38,1
6623,16069,1,0,38,1
6624,16069,1,0,38,1
6625,16069,1,0,38,1
6626,16069,1,0,38,1
6627,16069,1,0,38,1
6628,16069,1,0,38,1
6629,16069,1,0,38,1
6630,16069,1,0,38,1
6631,16069,1,0,38,1
6632,16069,1,0,38,1
6633,16069,1,0,38,1
6634,16069,1,0,38,1
6635,16069,1,0,38,1
